CodArticulo,d_media,d_sigma,StockMes,horizon,seguridad,stock_objetivo,Estado
ME000228225,,0.0,,,,,OK
ME000228226,,0.0,,,,,OK
ME000228227,,0.0,,,,,OK
ME000228228,,0.0,,,,,OK
ME000228229,,0.0,,,,,OK
ME000228407,3.1830008,0.3726779962499649,0.0,90.0,4.525483399593903,291.0,Quiebre Potencial
ME000228408,,0.0,,,,,OK
ME000228409,,0.0,,,,,OK
ME000228411,,0.0,,,,,OK
ME000228412,8.604086,0.0,3.0,90.0,0.0,774.0,OK
ME000228413,,0.0,,,,,OK
ME000228415,,0.0,,,,,OK
ME000228416,-0.8282508,0.0,3.0,90.0,0.0,-75.0,Sobre-stock
ME000228417,-2.6036127,0.0,0.0,90.0,0.0,-234.0,Sobre-stock
ME000228471,,0.0,,,,,OK
ME000228564,,0.9195409482755816,3.0,180.0,15.791278605610128,,Quiebre Potencial
ME000228565,-0.44067684,0.9000000000000001,178.0,180.0,15.455701860478548,-64.0,Sobre-stock
ME000228566,-1.7385329,0.25753937681885636,55.0,180.0,4.422724250495205,-309.0,Sobre-stock
ME000228567,-1.0256361,0.75,51.0,180.0,12.879751550398788,-172.0,Sobre-stock
ME000228568,,0.0,,,,,OK
ME000228569,-0.19972908,0.0,17.0,180.0,0.0,-36.0,Sobre-stock
ME000228690,,0.0,,,,,OK
ME000228691,,0.0,,,,,OK
ME000228693,,0.0,,,,,OK
ME000228694,,0.0,,,,,OK
ME000228695,,0.0,,,,,OK
ME000228697,,0.0,,,,,OK
ME000228698,8.158616,30.517366341765143,212.54,180.0,524.0747952725833,1993.0,Quiebre Potencial
ME000228717,,0.0,,,,,OK
ME000228719,,0.0,,,,,OK
ME000228855,20.293446,22.41986817287044,2092.32,180.0,385.01644247901936,4038.0,OK
ME000228856,8.290199,16.469271386433586,1319.829,180.0,282.82683156447524,1775.0,OK
ME000228857,13.342409,17.783895726814816,2175.82,180.0,305.4028780794314,2707.0,OK
ME000228860,11.02187,16.502584056915314,1615.479,180.0,283.39891012352183,2267.0,OK
ME000228861,14.385891,19.37410212973322,2909.143,180.0,332.7114959240212,2922.0,OK
ME000228863,13.072883,20.42908438694424,1427.618,180.0,350.8287084079637,2704.0,OK
ME000228864,15.329109,20.0211135776432,572.147,180.0,343.82262485648033,3103.0,OK
ME000228872,15.094793,20.004155401649264,1184.077,180.0,343.53140206508056,3061.0,OK
ME000228873,9.312374,14.098867172775106,1140.066,180.0,242.11987510322237,1918.0,OK
ME000228998,117.005226,233.73336967579104,4750.149,180.0,4013.903640615604,25075.0,OK
ME000228999,253.54477,344.6338089431544,740.005,180.0,5918.397113407244,51556.0,Quiebre Potencial
ME000229000,240.64902,564.3421200733549,6214.654,180.0,9691.448394626843,53008.0,Quiebre Potencial
ME000229048,,0.0,,,,,OK
ME000229124,102.19784,500.9973771942879,3075.636,180.0,8603.628994218476,26999.0,Quiebre Potencial
ME000229557,41.13804,144.15453980788195,69.364,180.0,2475.5662101167886,9880.0,Quiebre Potencial
ME000229558,65.865005,101.3818546661855,155.524,180.0,1741.03079975881,13597.0,Quiebre Potencial
ME000229559,22.594673,36.61349189696182,672.984,180.0,628.7635720338767,4696.0,OK
ME000229560,20.67773,35.3670595328478,945.218,180.0,607.3585864683237,4329.0,OK
ME000229561,28.871449,64.02266126580147,252.318,180.0,1099.4612942651506,6296.0,Quiebre Potencial
ME000229562,37.6335,45.796251939068846,1020.113,180.0,786.4591292195673,7560.0,OK
