feature,gain
ohe__CodArticulo_00000005973,0.0
ohe__CodArticulo_00000005972,0.0
ohe__CodArticulo_00000005969,0.0
ohe__CodArticulo_00000006041,0.0
ohe__CodArticulo_00000006040,0.0
ohe__CodArticulo_00000006039,0.0
ohe__CodArticulo_00000006037,0.0
ohe__CodArticulo_00000006036,0.0
ohe__CodArticulo_00000006035,0.0
ohe__CodArticulo_00000006034,0.0
ohe__CodArticulo_00000006033,0.0
ohe__CodArticulo_00000006032,0.0
ohe__CodArticulo_00000006027,0.0
ohe__CodArticulo_00000006026,0.0
ohe__CodArticulo_00000006025,0.0
ohe__CodArticulo_00000006024,0.0
ohe__CodArticulo_00000006021,0.0
ohe__CodArticulo_00000006019,0.0
ohe__CodArticulo_00000006015,0.0
ohe__CodArticulo_00000006064,0.0
ohe__CodArticulo_00000006063,0.0
ohe__CodArticulo_00000006062,0.0
ohe__CodArticulo_00000006061,0.0
ohe__CodArticulo_00000006060,0.0
ohe__CodArticulo_00000006059,0.0
ohe__CodArticulo_00000006058,0.0
ohe__CodArticulo_00000006052,0.0
ohe__CodArticulo_00000006050,0.0
ohe__CodArticulo_00000006048,0.0
ohe__CodArticulo_00000006046,0.0
ohe__CodArticulo_00000006045,0.0
ohe__CodArticulo_00000006044,0.0
ohe__CodArticulo_00000006043,0.0
ohe__CodArticulo_00000006042,0.0
ohe__CodArticulo_00000006087,0.0
ohe__CodArticulo_00000006086,0.0
ohe__CodArticulo_00000006085,0.0
ohe__CodArticulo_00000006084,0.0
ohe__CodArticulo_00000006082,0.0
ohe__CodArticulo_00000006080,0.0
ohe__CodArticulo_00000006078,0.0
ohe__CodArticulo_00000006076,0.0
ohe__CodArticulo_00000006075,0.0
ohe__CodArticulo_00000006074,0.0
ohe__CodArticulo_00000006073,0.0
ohe__CodArticulo_00000006072,0.0
ohe__CodArticulo_00000006071,0.0
ohe__CodArticulo_00000006070,0.0
ohe__CodArticulo_00000006068,0.0
ohe__CodArticulo_00000006066,0.0
ohe__CodArticulo_00000006219,0.0
ohe__CodArticulo_00000006218,0.0
ohe__CodArticulo_00000006199,0.0
ohe__CodArticulo_00000006198,0.0
ohe__CodArticulo_00000006130,0.0
ohe__CodArticulo_00000006098,0.0
ohe__CodArticulo_00000006096,0.0
ohe__CodArticulo_00000006094,0.0
ohe__CodArticulo_00000006092,0.0
ohe__CodArticulo_00000006091,0.0
ohe__CodArticulo_00000006090,0.0
ohe__CodArticulo_00000006089,0.0
ohe__CodArticulo_00000006088,0.0
ohe__CodArticulo_00000006248,0.0
ohe__CodArticulo_00000006247,0.0
ohe__CodArticulo_00000006246,0.0
ohe__CodArticulo_00000006245,0.0
ohe__CodArticulo_00000006244,0.0
ohe__CodArticulo_00000006243,0.0
ohe__CodArticulo_00000006242,0.0
ohe__CodArticulo_00000006241,0.0
ohe__CodArticulo_00000006240,0.0
ohe__CodArticulo_00000006239,0.0
ohe__CodArticulo_00000006238,0.0
ohe__CodArticulo_00000006237,0.0
